tick,x,y,z,speed,state,curr_front_dist,curr_front_speed,left_front_dist,left_front_speed,left_rear_dist,left_rear_speed,right_front_dist,right_front_speed,right_rear_dist,right_rear_speed,lane_id,road_id,ttc,prepare_count,prepare_confirm_count,lane_change_ticks,right_change_is_bypass,overtake_target_id,pending_direction,target_lane_id,need_bypass,decision,steer,throttle,brake,cte,yaw_error,wp_reason,mode,idm_accel,s_star,s
0,225.3138427734375,-364.12994384765625,-0.006704079452902079,0.0017972693779351595,FOLLOW_LANE,999.0,999.0,6.694718351391362,2.0048428366367945,999.0,999.0,999.0,999.0,999.0,999.0,-4,43,999.0,0,0,0,False,,,,False,stay_follow_no_need,-0.003193351660883896,0.06,0.0,0.0016758230314759984,-0.006123828915197648,follow_lane_wp,idm_accel,1.499999999616,0.0,999.0
1,225.3138427734375,-364.12994384765625,-0.006857887841761112,0.003758504690291887,FOLLOW_LANE,999.0,999.0,6.8002148649611485,2.1851889230344756,999.0,999.0,999.0,999.0,999.0,999.0,-4,43,999.0,0,0,0,False,,,,False,stay_follow_no_need,-0.004151805785194472,0.12,0.0,0.0016746052590688146,-0.006123840878616607,follow_lane_wp,idm_accel,1.499999999616,0.0,999.0
2,225.3138427734375,-364.12994384765625,-0.007062088698148727,0.004199015217617535,FOLLOW_LANE,999.0,999.0,6.913737914184896,2.341082289228805,999.0,999.0,999.0,999.0,999.0,999.0,-4,43,999.0,0,0,0,False,,,,False,stay_follow_no_need,-0.004439446136490974,0.18,0.0,0.0016743260297274192,-0.006123847640549062,follow_lane_wp,idm_accel,1.499999999616,0.0,999.0
3,225.3138427734375,-364.12994384765625,-0.0071206060238182545,0.0019490243578105648,FOLLOW_LANE,999.0,999.0,7.034585037206538,2.484520835143832,999.0,999.0,999.0,999.0,999.0,999.0,-4,43,999.0,0,0,0,False,,,,False,stay_follow_no_need,-0.004525235212272065,0.24,0.0,0.0016757038812535126,-0.006123847640549062,follow_lane_wp,idm_accel,1.499999999616,0.0,999.0
4,225.3138427734375,-364.12994384765625,-0.007243782747536898,0.0026794990143631106,FOLLOW_LANE,999.0,999.0,7.162482253128893,2.6223252104137584,999.0,999.0,999.0,999.0,999.0,999.0,-4,43,999.0,0,0,0,False,,,,False,stay_follow_no_need,-0.004551137736509055,0.3,0.0,0.0016752525466452728,-0.006123850501366639,follow_lane_wp,idm_accel,1.499999999616,0.0,999.0
5,225.3138427734375,-364.12994384765625,-0.007379357237368822,0.0026677859023162306,FOLLOW_LANE,999.0,999.0,7.297260130950024,2.75845751858035,999.0,999.0,999.0,999.0,999.0,999.0,-4,43,999.0,0,0,0,False,,,,False,stay_follow_no_need,-0.004558905874387238,0.36,0.0,0.0016752597195414296,-0.006123850501366639,follow_lane_wp,idm_accel,1.499999999616,0.0,999.0
6,225.3138427734375,-364.12994384765625,-0.007502266671508551,0.0022924060163872968,FOLLOW_LANE,999.0,999.0,7.438949895854847,2.8952608075978197,999.0,999.0,999.0,999.0,999.0,999.0,-4,43,999.0,0,0,0,False,,,,False,stay_follow_no_need,-0.004561151265008027,0.42,0.0,0.0016754914159126258,-0.006123849200995013,follow_lane_wp,idm_accel,1.499999999616,0.0,999.0
7,225.3138427734375,-364.12994384765625,-0.007602021098136902,0.0017915352920546922,FOLLOW_LANE,999.0,999.0,7.587658335994554,3.0341395245629927,999.0,999.0,999.0,999.0,999.0,999.0,-4,43,999.0,0,0,0,False,,,,False,stay_follow_no_need,-0.004561712825774481,0.48,0.0,0.0016757981396997032,-0.006123849200995013,follow_lane_wp,idm_accel,1.499999999616,0.0,999.0
8,225.3138427734375,-364.12994384765625,-0.007676559966057539,0.0012989050842609705,FOLLOW_LANE,999.0,999.0,7.743462086178388,3.175942764446183,999.0,999.0,999.0,999.0,999.0,999.0,-4,43,999.0,0,0,0,False,,,,False,stay_follow_no_need,-0.004561771044705236,0.54,0.0,0.0016760998171048806,-0.006123849200995013,follow_lane_wp,idm_accel,1.499999999616,0.0,999.0
9,225.3138427734375,-364.12994384765625,-0.007728440221399069,0.0008782487205505138,FOLLOW_LANE,999.0,999.0,7.906529005990993,3.3211917292678867,999.0,999.0,999.0,999.0,999.0,999.0,-4,43,999.0,0,0,0,False,,,,False,stay_follow_no_need,-0.004561694339974862,0.6000000000000001,0.0,0.0016763574191423817,-0.006123849200995013,follow_lane_wp,idm_accel,1.499999999616,0.0,999.0
